customer_id,first_name,last_name,segment,country,total_orders,first_order_date,last_order_date,customer_lifespan_days,lifetime_value,avg_order_value,purchase_frequency_monthly
1,James,Smith,Premium,USA,8,2023-04-25,2024-12-26,611,1335.34,166.92,0.39
10,Oliver,Brown,Standard,AUSTRALIA,9,2023-04-13,2024-12-15,612,1485.01,165.00,0.44
11,Fatima,Al-hassan,Premium,UAE,8,2023-03-16,2024-11-10,605,1225.47,153.18,0.40
12,Noah,Wilson,Standard,USA,9,2023-08-04,2024-10-20,443,833.47,166.69,0.61
13,Isabella,Moore,Basic,GERMANY,7,2023-09-07,2024-12-14,464,840.02,140.00,0.45
14,Ethan,Taylor,Premium,FRANCE,12,2023-03-13,2024-12-14,642,1895.01,189.50,0.56
15,Amara,Diallo,Standard,KENYA,15,2023-01-18,2024-09-02,593,3592.96,276.38,0.76
16,Lucas,Anderson,Basic,BRAZIL,12,2023-01-07,2024-10-03,635,2854.32,259.48,0.57
17,Chloe,Thomas,Standard,CANADA,7,2023-04-19,2024-11-10,571,1536.02,219.43,0.37
18,Mohammed,Ibrahim,Basic,EGYPT,12,2023-02-06,2024-12-23,686,1648.40,149.85,0.52
19,Zoe,Harris,Premium,AUSTRALIA,10,2023-01-27,2024-09-13,595,1293.62,161.70,0.50
2,Maria,Garcia,Standard,USA,11,2023-01-04,2024-09-26,631,2033.04,184.82,0.52
20,Raj,Kumar,Standard,INDIA,9,2023-04-12,2024-09-02,509,2473.75,309.22,0.53
21,Elena,Petrova,Premium,RUSSIA,6,2023-08-05,2024-07-16,346,1145.11,190.85,0.52
22,David,Kim,Standard,"SOUTH KOREA",14,2023-01-28,2024-12-31,703,3074.07,236.47,0.60
23,Sara,Lindqvist,Basic,SWEDEN,9,2023-01-21,2024-12-14,693,1352.48,169.06,0.39
24,Ahmed,Hassan,Standard,MOROCCO,9,2023-03-11,2024-12-25,655,2080.45,260.06,0.41
25,Nina,Schulz,Premium,GERMANY,10,2023-02-01,2024-07-06,521,1817.43,259.63,0.58
3,Wei,Zhang,Basic,USA,9,2023-05-22,2024-10-11,508,890.83,111.35,0.53
4,Sophie,Martin,Premium,UK,6,2023-01-13,2024-12-15,702,1552.06,258.68,0.26
5,Carlos,Lopez,Standard,USA,10,2023-07-14,2024-07-30,382,2041.00,204.10,0.79
6,Aisha,Patel,Basic,USA,10,2023-01-03,2024-12-13,710,1253.06,179.01,0.42
7,Luca,Rossi,Standard,ITALY,9,2023-05-31,2024-12-22,571,1303.12,162.89,0.47
8,Emma,Johnson,Premium,CANADA,14,2023-01-25,2024-10-12,626,2154.46,165.73,0.67
9,Yuki,Tanaka,Basic,JAPAN,15,2023-02-09,2024-11-17,647,3271.87,218.12,0.70
