order_item_id,order_id,order_date,year,quarter,month,month_name,day_of_week_name,customer_id,first_name,last_name,email,city,country,segment,product_id,product_name,category,quantity,unit_price,discount_pct,gross_revenue,discount_amount,net_revenue,status,is_valid_sale
108,1126,2023-06-08,2023,2,6,June,Thursday,24,Ahmed,Hassan,ahmed.hassan@email.com,Casablanca,MOROCCO,Standard,1,"Wireless Headphones",Electronics,1,89.99,0.00,89.99,0.00,89.99,completed,1
117,1153,2023-06-23,2023,2,6,June,Friday,16,Lucas,Anderson,lucas.anderson@email.com,"Sao paulo",BRAZIL,Basic,1,"Wireless Headphones",Electronics,1,89.99,5.00,89.99,4.50,85.49,completed,1
130,1147,2023-07-16,2023,3,7,July,Sunday,5,Carlos,Lopez,carlos.lopez@email.com,Miami,USA,Standard,1,"Wireless Headphones",Electronics,2,89.99,10.00,179.98,18.00,161.98,completed,1
147,1181,2023-08-13,2023,3,8,August,Sunday,16,Lucas,Anderson,lucas.anderson@email.com,"Sao paulo",BRAZIL,Basic,1,"Wireless Headphones",Electronics,3,89.99,10.00,269.97,27.00,242.97,completed,1
148,1009,2023-08-14,2023,3,8,August,Monday,3,Wei,Zhang,wei.zhang@email.com,Chicago,USA,Basic,1,"Wireless Headphones",Electronics,3,89.99,0.00,269.97,0.00,269.97,cancelled,0
158,1097,2023-08-29,2023,3,8,August,Tuesday,22,David,Kim,david.kim@email.com,Seoul,"SOUTH KOREA",Standard,1,"Wireless Headphones",Electronics,1,89.99,0.00,89.99,0.00,89.99,completed,1
176,1168,2023-09-11,2023,3,9,September,Monday,9,Yuki,Tanaka,cliente_9@sindatos.com,Tokyo,JAPAN,Basic,1,"Wireless Headphones",Electronics,3,89.99,20.00,269.97,53.99,215.98,completed,1
183,1036,2023-09-29,2023,3,9,September,Friday,12,Noah,Wilson,noah.wilson@email.com,Seattle,USA,Standard,1,"Wireless Headphones",Electronics,3,89.99,5.00,269.97,13.50,256.47,completed,1
202,1150,2023-10-21,2023,4,10,October,Saturday,10,Oliver,Brown,oliver.brown@email.com,Sydney,AUSTRALIA,Standard,1,"Wireless Headphones",Electronics,2,89.99,10.00,179.98,18.00,161.98,completed,1
212,1214,2023-11-29,2023,4,11,November,Wednesday,16,Lucas,Anderson,lucas.anderson@email.com,"Sao paulo",BRAZIL,Basic,1,"Wireless Headphones",Electronics,2,89.99,15.00,179.98,27.00,152.98,completed,1
228,1138,2023-12-20,2023,4,12,December,Wednesday,14,Ethan,Taylor,ethan.taylor@email.com,Paris,FRANCE,Premium,1,"Wireless Headphones",Electronics,2,89.99,10.00,179.98,18.00,161.98,completed,1
240,1025,2024-01-15,2024,1,1,January,Monday,9,Yuki,Tanaka,cliente_9@sindatos.com,Tokyo,JAPAN,Basic,1,"Wireless Headphones",Electronics,2,89.99,5.00,179.98,9.00,170.98,completed,1
276,1158,2024-02-29,2024,1,2,February,Thursday,15,Amara,Diallo,amara.diallo@email.com,Nairobi,KENYA,Standard,1,"Wireless Headphones",Electronics,2,89.99,5.00,179.98,9.00,170.98,pending,1
298,1212,2024-04-20,2024,2,4,April,Saturday,8,Emma,Johnson,emma.johnson@email.com,Toronto,CANADA,Premium,1,"Wireless Headphones",Electronics,1,89.99,0.00,89.99,0.00,89.99,pending,1
